ID,Name,Comment,SoundPath,Memo
NL,[改行コード],"
",None,この行はいじらない
LC_1,実,"さぁ、始まりました。第8回目椅ースポーツのお時間です。
実況解説は放送委員の高野と↑",SoundWave'/Game/Voice/LiveCommnentary/01.01',ゲーム開始時、マップをカメラで眺めている時。
C_1,解,同じく放送委員の半田がお送りします。,SoundWave'/Game/Voice/Commentary/01.01',
LC_2,実,"さぁ、方向を定めました。
どうやら中心狙いでしょうか",SoundWave'/Game/Voice/LiveCommnentary/02.02',方向選択で真ん中を選んだ時
C_2,解,ストレートに高得点狙いでしょう。,SoundWave'/Game/Voice/Commentary/02.02',
LC_3,実,これは、狙いを横にずらしているようですが、何か狙いがあるのでしょうか。,SoundWave'/Game/Voice/LiveCommnentary/03.03',方向選択で左右を選んだ時
C_3,解,地道に点数を稼ぐつもりでしょう。,SoundWave'/Game/Voice/Commentary/03.03',
LC_4_1,実,長めに助走を取って,SoundWave'/Game/Voice/LiveCommnentary/04_01.04_01',最大パワーの8割以上で投げた時。
LC_4_2,実,投げたー！,SoundWave'/Game/Voice/LiveCommnentary/04_02.04_02',
LC_4_3,実,力強い1脚だ。,SoundWave'/Game/Voice/LiveCommnentary/04_03.04_03',
C_4,解,相手を吹き飛ばすつもりでしょう,SoundWave'/Game/Voice/Commentary/04.04',
LC_5_1,実,おっと、これは弱いんじゃないか～？,SoundWave'/Game/Voice/LiveCommnentary/05_01.05_01',最大パワーの8割未満だった時。
LC_5_2,実,ここで力を弱く選択したようです,SoundWave'/Game/Voice/LiveCommnentary/05_02.05_02',
C_5,解,ハウスにピタリと止まることに期待です。,SoundWave'/Game/Voice/Commentary/05.05',
LC_6,実,ハウスにインしたー。,SoundWave'/Game/Voice/LiveCommnentary/06.06',椅子がハウス内で止まった時。
C_6_1,解,素晴らしい,SoundWave'/Game/Voice/Commentary/06_01.06_01',
C_6_2,解,コントロールです。,SoundWave'/Game/Voice/Commentary/06_02.06_02',
LC_7,実,やってしまった～...これはアウトだー。,SoundWave'/Game/Voice/LiveCommnentary/07.07',アウトゾーンに止まった時。
C_7_1,解,やってしまいましたね～,SoundWave'/Game/Voice/Commentary/07_01.07_01',
C_7_2,解,厳しい戦いになりそうですね,SoundWave'/Game/Voice/Commentary/07_02.07_02',
LC_8,実,"おっと、ここでアクシデントが発生しました！女子がコースに入ってきます。
あーっと！転んでしまったー。床が水浸しだー。",SoundWave'/Game/Voice/LiveCommnentary/08.08',イベント１で女子が廊下に侵入した時。
LC_8_1,実,おっと、ここでアクシデントが発生しました！女子がコースに入ってきます。,SoundWave'/Game/Voice/LiveCommnentary/08_01.08_01',
LC_8_2,実,あーっと！転んでしまったー。床が水浸しだー。,SoundWave'/Game/Voice/LiveCommnentary/08_02.08_02',
C_8,解,水の上はスピンがやりにくそうですね。,SoundWave'/Game/Voice/Commentary/08.08',
LC_9,実,先ほどの床を透かさず男子が拭きに来ました。女子に優しい男子はモテます！,SoundWave'/Game/Voice/LiveCommnentary/09.09',イベント２で男子が廊下に侵入した時。
C_9,解,磨かれた床は余計に滑りそうですね。私も拭きに参加したいです！,SoundWave'/Game/Voice/Commentary/09.09',
